County,Date,WholeSale,Commodity_Classification,Year_Week,WeekofYear
Mombasa,2024-04-22,33.89,Dry_White_Maize,2024-17,17
Nairobi,2024-04-22,35.63,Dry_White_Maize,2024-17,17
Kirinyaga,2024-04-22,34.44,Dry_White_Maize,2024-17,17
Mombasa,2024-04-29,34.44,Dry_White_Maize,2024-18,18
Nairobi,2024-04-29,33.33,Dry_White_Maize,2024-18,18
Uasin-Gishu,2024-04-29,33.7925,Dry_White_Maize,2024-18,18
Nairobi,2024-05-06,36.6,Dry_White_Maize,2024-19,19
Mombasa,2024-05-13,32.78,Dry_White_Maize,2024-20,20
Kirinyaga,2024-05-13,33.33,Dry_White_Maize,2024-20,20
Uasin-Gishu,2024-05-13,32.775,Dry_White_Maize,2024-20,20
Nairobi,2024-05-13,36.3975,Dry_White_Maize,2024-20,20
Nairobi,2024-05-20,35.555,Dry_White_Maize,2024-21,21
Mombasa,2024-05-20,32.78,Dry_White_Maize,2024-21,21
Kirinyaga,2024-05-20,35.56,Dry_White_Maize,2024-21,21
Uasin-Gishu,2024-05-20,34.44,Dry_White_Maize,2024-21,21
Nairobi,2024-05-27,38.33,Dry_White_Maize,2024-22,22
Nairobi,2024-06-03,38.33,Dry_White_Maize,2024-23,23
Bungoma,2024-06-03,32.77,Dry_White_Maize,2024-23,23
Uasin-Gishu,2024-06-10,31.47,Dry_White_Maize,2024-24,24
Kirinyaga,2024-06-10,33.33,Dry_White_Maize,2024-24,24
Mombasa,2024-06-10,32.22,Dry_White_Maize,2024-24,24
Kiambu,2024-06-10,33.33,Dry_White_Maize,2024-24,24
Uasin-Gishu,2024-06-17,32.22,Dry_White_Maize,2024-25,25
Mombasa,2024-06-17,32.22,Dry_White_Maize,2024-25,25
Kirinyaga,2024-06-17,33.33,Dry_White_Maize,2024-25,25
Nairobi,2024-06-17,32.22,Dry_White_Maize,2024-25,25
Mombasa,2024-07-01,27.78,Dry_White_Maize,2024-27,27
Nairobi,2024-07-01,27.78,Dry_White_Maize,2024-27,27
Kirinyaga,2024-07-15,34.44,Dry_White_Maize,2024-29,29
Nairobi,2024-07-15,32.22,Dry_White_Maize,2024-29,29
Kisumu,2024-07-15,42.22,Dry_White_Maize,2024-29,29
Mombasa,2024-07-22,32.22,Dry_White_Maize,2024-30,30
Uasin-Gishu,2024-07-22,32.22,Dry_White_Maize,2024-30,30
Uasin-Gishu,2024-07-29,32.22,Dry_White_Maize,2024-31,31
Nairobi,2024-07-29,34.44,Dry_White_Maize,2024-31,31
Kirinyaga,2024-07-29,34.445,Dry_White_Maize,2024-31,31
Kiambu,2024-07-29,32.22,Dry_White_Maize,2024-31,31
Bungoma,2024-08-12,33.89,Dry_White_Maize,2024-33,33
Nairobi,2024-08-19,32.22,Dry_White_Maize,2024-34,34
Uasin-Gishu,2024-08-19,34.17,Dry_White_Maize,2024-34,34
Uasin-Gishu,2024-09-02,29.61,Dry_White_Maize,2024-36,36
Uasin-Gishu,2024-09-09,33.33,Dry_White_Maize,2024-37,37
Nairobi,2024-09-09,31.945,Dry_White_Maize,2024-37,37
Uasin-Gishu,2024-09-16,29.585,Dry_White_Maize,2024-38,38
Nairobi,2024-09-23,31.945,Dry_White_Maize,2024-39,39
Uasin-Gishu,2024-09-23,33.33,Dry_White_Maize,2024-39,39
Uasin-Gishu,2024-09-30,30.810000000000002,Dry_White_Maize,2024-40,40
Kisumu,2024-09-30,32.22,Dry_White_Maize,2024-40,40
Nairobi,2024-09-30,31.48,Dry_White_Maize,2024-40,40
Meru,2024-09-30,30.0,Dry_White_Maize,2024-40,40
Bungoma,2024-10-14,32.23,Dry_White_Maize,2024-42,42
Kisumu,2024-10-21,42.22,Dry_White_Maize,2024-43,43
Busia,2024-10-21,30.0,Dry_White_Maize,2024-43,43
Nairobi,2024-10-21,34.7975,Dry_White_Maize,2024-43,43
Uasin-Gishu,2024-10-21,32.5,Dry_White_Maize,2024-43,43
Uasin-Gishu,2024-10-28,34.76,Dry_White_Maize,2024-44,44
Kakamega,2024-10-28,30.0,Dry_White_Maize,2024-44,44
Uasin-Gishu,2024-11-04,35.44,Dry_White_Maize,2024-45,45
Kiambu,2024-11-04,38.33,Dry_White_Maize,2024-45,45
Kiambu,2024-11-11,41.11,Dry_White_Maize,2024-46,46
Uasin-Gishu,2024-11-11,42.23,Dry_White_Maize,2024-46,46
Nairobi,2024-11-11,42.84,Dry_White_Maize,2024-46,46
Uasin-Gishu,2024-11-18,40.275,Dry_White_Maize,2024-47,47
Nairobi,2024-11-18,41.39,Dry_White_Maize,2024-47,47
Kiambu,2024-11-18,42.306666666666665,Dry_White_Maize,2024-47,47
Nairobi,2024-11-25,42.025,Dry_White_Maize,2024-48,48
Kisumu,2024-11-25,40.81,Dry_White_Maize,2024-48,48
Uasin-Gishu,2024-11-25,37.38,Dry_White_Maize,2024-48,48
Kiambu,2024-11-25,40.81,Dry_White_Maize,2024-48,48
Kiambu,2024-12-02,41.23,Dry_White_Maize,2024-49,49
Nairobi,2024-12-02,42.415,Dry_White_Maize,2024-49,49
Kiambu,2024-12-09,40.55,Dry_White_Maize,2024-50,50
Uasin-Gishu,2024-12-09,39.985,Dry_White_Maize,2024-50,50
Uasin-Gishu,2024-12-30,37.263999999999996,Dry_White_Maize,2025-01,1
Uasin-Gishu,2025-01-06,36.88666666666666,Dry_White_Maize,2025-02,2
Kiambu,2025-01-06,41.11,Dry_White_Maize,2025-02,2
Uasin-Gishu,2025-01-13,36.76375,Dry_White_Maize,2025-03,3
Kiambu,2025-01-13,42.5,Dry_White_Maize,2025-03,3
Nairobi,2025-01-20,42.22,Dry_White_Maize,2025-04,4
Uasin-Gishu,2025-01-20,37.619473684210526,Dry_White_Maize,2025-04,4
Kiambu,2025-01-20,42.55,Dry_White_Maize,2025-04,4
Kiambu,2025-01-27,42.30166666666667,Dry_White_Maize,2025-05,5
Uasin-Gishu,2025-01-27,37.7175,Dry_White_Maize,2025-05,5
Uasin-Gishu,2025-02-03,38.16235294117647,Dry_White_Maize,2025-06,6
Kiambu,2025-02-03,42.55,Dry_White_Maize,2025-06,6
Kiambu,2025-02-10,41.974000000000004,Dry_White_Maize,2025-07,7
Uasin-Gishu,2025-02-10,38.59777777777778,Dry_White_Maize,2025-07,7
Uasin-Gishu,2025-02-17,40.611999999999995,Dry_White_Maize,2025-08,8
Uasin-Gishu,2025-02-24,43.86166666666667,Dry_White_Maize,2025-09,9
Uasin-Gishu,2025-03-03,43.44285714285714,Dry_White_Maize,2025-10,10
Nakuru,2025-03-10,39.56,Dry_White_Maize,2025-11,11
Uasin-Gishu,2025-03-10,45.406666666666666,Dry_White_Maize,2025-11,11
Uasin-Gishu,2025-03-17,47.33555555555555,Dry_White_Maize,2025-12,12
Nakuru,2025-03-17,44.83,Dry_White_Maize,2025-12,12
Uasin-Gishu,2025-03-24,48.719,Dry_White_Maize,2025-13,13
Mombasa,2025-03-31,47.22,Dry_White_Maize,2025-14,14
Nakuru,2025-03-31,44.44,Dry_White_Maize,2025-14,14
Uasin-Gishu,2025-03-31,45.115,Dry_White_Maize,2025-14,14
Uasin-Gishu,2025-04-07,43.492,Dry_White_Maize,2025-15,15
Uasin-Gishu,2025-04-14,44.879999999999995,Dry_White_Maize,2025-16,16
Bungoma,2025-04-14,46.77,Dry_White_Maize,2025-16,16
Bungoma,2025-04-21,46.67,Dry_White_Maize,2025-17,17
Uasin-Gishu,2025-04-21,45.832499999999996,Dry_White_Maize,2025-17,17
Uasin-Gishu,2025-04-28,45.876666666666665,Dry_White_Maize,2025-18,18
Uasin-Gishu,2025-05-05,48.37444444444444,Dry_White_Maize,2025-19,19
Uasin-Gishu,2025-05-12,50.3,Dry_White_Maize,2025-20,20
Uasin-Gishu,2025-05-19,50.925000000000004,Dry_White_Maize,2025-21,21
Uasin-Gishu,2025-05-26,52.22,Dry_White_Maize,2025-22,22
Uasin-Gishu,2025-06-02,46.925000000000004,Dry_White_Maize,2025-23,23
Uasin-Gishu,2025-06-09,49.925000000000004,Dry_White_Maize,2025-24,24
Machakos,2025-06-30,46.67,Dry_White_Maize,2025-27,27
Nairobi,2025-07-07,47.22,Dry_White_Maize,2025-28,28
Nairobi,2025-07-14,47.22,Dry_White_Maize,2025-29,29
Uasin-Gishu,2025-08-04,44.33809523809524,Dry_White_Maize,2025-32,32
Mombasa,2025-08-04,44.305,Dry_White_Maize,2025-32,32
Kirinyaga,2025-08-04,46.67,Dry_White_Maize,2025-32,32
Kiambu,2025-08-04,44.22,Dry_White_Maize,2025-32,32
Kajiado,2025-08-04,42.22,Dry_White_Maize,2025-32,32
Nairobi,2025-08-04,44.971,Dry_White_Maize,2025-32,32
Kajiado,2025-08-11,38.89,Dry_White_Maize,2025-33,33
Mombasa,2025-08-11,42.78,Dry_White_Maize,2025-33,33
Uasin-Gishu,2025-08-11,41.270999999999994,Dry_White_Maize,2025-33,33
Kiambu,2025-08-11,42.222857142857144,Dry_White_Maize,2025-33,33
Nairobi,2025-08-11,43.889117647058825,Dry_White_Maize,2025-33,33
Uasin-Gishu,2025-08-18,40.58375,Dry_White_Maize,2025-34,34
Nairobi,2025-08-18,43.944,Dry_White_Maize,2025-34,34
Kiambu,2025-08-18,41.11,Dry_White_Maize,2025-34,34
Kajiado,2025-08-18,38.89,Dry_White_Maize,2025-34,34
Uasin-Gishu,2025-08-25,39.271428571428565,Dry_White_Maize,2025-35,35
Nairobi,2025-08-25,45.074,Dry_White_Maize,2025-35,35
Kiambu,2025-08-25,42.22,Dry_White_Maize,2025-35,35
Trans-Nzoia,2025-09-01,40.0,Dry_White_Maize,2025-36,36
Uasin-Gishu,2025-09-01,39.25,Dry_White_Maize,2025-36,36
Kiambu,2025-09-01,42.22,Dry_White_Maize,2025-36,36
Nairobi,2025-09-01,42.589999999999996,Dry_White_Maize,2025-36,36
Nairobi,2025-09-08,42.589999999999996,Dry_White_Maize,2025-37,37
Uasin-Gishu,2025-09-08,39.25,Dry_White_Maize,2025-37,37
Trans-Nzoia,2025-09-08,40.0,Dry_White_Maize,2025-37,37
Kiambu,2025-09-08,42.22,Dry_White_Maize,2025-37,37
Kiambu,2025-09-15,43.33,Dry_White_Maize,2025-38,38
Nairobi,2025-09-15,42.886,Dry_White_Maize,2025-38,38
Uasin-Gishu,2025-09-15,39.556,Dry_White_Maize,2025-38,38
Uasin-Gishu,2025-09-22,38.57285714285714,Dry_White_Maize,2025-39,39
Kiambu,2025-09-22,43.33,Dry_White_Maize,2025-39,39
Nairobi,2025-09-22,42.775,Dry_White_Maize,2025-39,39
Kiambu,2025-09-29,41.11,Dry_White_Maize,2025-40,40
Nairobi,2025-09-29,41.29666666666667,Dry_White_Maize,2025-40,40
Uasin-Gishu,2025-09-29,38.335,Dry_White_Maize,2025-40,40
Kiambu,2025-10-06,41.11,Dry_White_Maize,2025-41,41
Nairobi,2025-10-06,40.556666666666665,Dry_White_Maize,2025-41,41
Uasin-Gishu,2025-10-06,38.335,Dry_White_Maize,2025-41,41
